YEAR,MO,DY,HR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,WS2M,RH2M,LOKASI,DATETIME,JAM_KATEGORI,IS_DAYTIME,BULAN,MUSIM,DURASI_AMAN_MENIT,LABEL_AMAN
2020,1,1,6,0.01,0.0,0.03,25.26,0.65,91.34,Bali,2020-01-01 06:00:00,Pagi,1,1,Hujan,120.0,1
2020,1,1,7,0.03,0.0,0.57,25.69,0.58,90.04,Bali,2020-01-01 07:00:00,Pagi,1,1,Hujan,52.6,1
2020,1,1,8,0.07,0.0,2.08,26.06,0.5,88.75,Bali,2020-01-01 08:00:00,Pagi,1,1,Hujan,14.4,1
2020,1,1,9,0.09,0.0,4.05,26.52,0.51,85.79,Bali,2020-01-01 09:00:00,Pagi,1,1,Hujan,7.4,0
2020,1,1,10,0.11,0.0,5.18,27.03,0.58,81.22,Bali,2020-01-01 10:00:00,Siang,1,1,Hujan,5.8,0
2020,1,1,11,0.09,0.0,4.95,27.64,0.72,75.86,Bali,2020-01-01 11:00:00,Siang,1,1,Hujan,6.1,0
2020,1,1,12,0.07,0.0,4.12,28.02,0.8,73.23,Bali,2020-01-01 12:00:00,Siang,1,1,Hujan,7.3,0
2020,1,1,13,0.06,0.0,3.03,28.11,0.78,72.24,Bali,2020-01-01 13:00:00,Siang,1,1,Hujan,9.9,0
2020,1,1,14,0.05,0.0,2.62,27.75,0.69,74.2,Bali,2020-01-01 14:00:00,Siang,1,1,Hujan,11.5,1
2020,1,1,15,0.04,0.0,1.7,27.25,0.58,77.28,Bali,2020-01-01 15:00:00,Sore,1,1,Hujan,17.6,1
2020,1,1,16,0.03,0.0,0.85,26.67,0.57,81.21,Bali,2020-01-01 16:00:00,Sore,1,1,Hujan,35.3,1
2020,1,1,17,0.01,0.0,0.17,26.06,0.63,85.74,Bali,2020-01-01 17:00:00,Sore,1,1,Hujan,120.0,1
2020,1,2,6,0.01,0.0,0.03,24.59,0.84,89.72,Bali,2020-01-02 06:00:00,Pagi,1,1,Hujan,120.0,1
2020,1,2,7,0.03,0.0,0.57,25.18,0.7,87.89,Bali,2020-01-02 07:00:00,Pagi,1,1,Hujan,52.6,1
